,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
0,Medium,298.1,308.6,1551.0,42.8,0.0,No Failure
1,Low,298.2,308.7,1408.0,46.3,3.0,No Failure
2,Low,298.1,308.5,1498.0,49.4,5.0,No Failure
3,Low,298.2,308.6,1433.0,39.5,7.0,No Failure
4,Low,298.2,308.7,1408.0,40.0,9.0,No Failure
5,Medium,298.1,308.6,1425.0,41.9,11.0,No Failure
6,Low,298.1,308.6,1558.0,42.4,14.0,No Failure
7,Low,298.1,308.6,1527.0,40.2,16.0,No Failure
8,Medium,298.3,308.7,1667.0,28.6,18.0,No Failure
9,Medium,298.5,309.0,1741.0,28.0,21.0,No Failure
10,High,298.4,308.9,1782.0,23.9,24.0,No Failure
11,High,298.6,309.1,1423.0,44.3,29.0,No Failure
12,Medium,298.6,309.1,1339.0,51.1,34.0,No Failure
13,Medium,298.6,309.2,1742.0,30.0,37.0,No Failure
14,Low,298.6,309.2,1895.5,19.6,40.0,No Failure
15,Low,298.6,309.2,1542.0,48.4,42.0,No Failure
16,Medium,298.6,309.2,1311.0,46.6,44.0,No Failure
17,Medium,298.7,309.2,1410.0,45.6,47.0,No Failure
18,High,298.8,309.2,1306.0,54.5,50.0,No Failure
19,Medium,298.9,309.3,1632.0,32.5,55.0,No Failure
20,High,298.9,309.3,1375.0,42.7,58.0,No Failure
21,Low,298.8,309.3,1450.0,44.8,63.0,No Failure
22,Medium,298.9,309.3,1581.0,30.7,65.0,No Failure
23,Low,299.0,309.4,1758.0,25.7,68.0,No Failure
24,Medium,299.0,309.4,1561.0,37.3,70.0,No Failure
25,Low,299.0,309.5,1861.0,23.3,73.0,No Failure
26,Low,299.1,309.5,1512.0,39.0,75.0,No Failure
27,High,299.1,309.4,1811.0,24.6,77.0,No Failure
28,Low,299.1,309.4,1439.0,44.2,82.0,No Failure
29,Low,299.0,309.4,1693.0,30.1,84.0,No Failure
30,Medium,299.1,309.5,1339.0,48.2,86.0,No Failure
31,Low,299.0,309.4,1798.0,25.5,89.0,No Failure
32,Low,299.0,309.4,1419.0,48.3,91.0,No Failure
33,Low,298.9,309.3,1665.0,32.5,93.0,No Failure
34,Medium,298.8,309.1,1559.0,34.7,95.0,No Failure
35,Medium,298.8,309.2,1452.0,48.6,98.0,No Failure
36,Medium,298.9,309.2,1581.0,36.7,101.0,No Failure
37,Low,298.8,309.1,1439.0,39.2,104.0,No Failure
38,High,298.9,309.2,1379.0,50.7,106.0,No Failure
39,Low,298.8,309.1,1350.0,52.5,111.0,No Failure
40,Low,298.8,309.1,1362.0,45.4,113.0,No Failure
41,Low,298.8,309.1,1368.0,50.8,115.0,No Failure
42,Medium,298.8,309.1,1368.0,49.1,117.0,No Failure
43,High,298.8,309.2,1372.0,48.5,120.0,No Failure
44,Medium,298.8,309.1,1472.0,47.5,125.0,No Failure
45,Low,298.8,309.1,1489.0,49.1,128.0,No Failure
46,Medium,298.7,309.0,1843.0,25.8,130.0,No Failure
47,Low,298.8,309.1,1418.0,46.3,133.0,No Failure
48,High,298.8,309.2,1425.0,53.9,135.0,No Failure
49,Medium,298.9,309.2,1412.0,44.1,140.0,No Failure
50,Low,298.9,309.1,1895.5,12.800000000000011,143.0,Power Failure
51,Low,298.9,309.1,1383.0,54.9,145.0,No Failure
52,High,298.8,309.0,1497.0,43.8,147.0,No Failure
53,Low,298.7,309.0,1565.0,35.1,152.0,No Failure
54,Low,298.7,309.0,1691.0,30.1,154.0,No Failure
55,Low,298.8,309.1,1512.0,40.7,156.0,No Failure
56,Low,298.8,309.1,1477.0,42.4,158.0,No Failure
57,Low,298.8,309.1,1513.0,40.3,160.0,No Failure
58,Medium,298.8,309.0,1661.0,29.5,162.0,No Failure
59,Low,298.8,309.1,1378.0,54.4,165.0,No Failure
60,Low,298.8,309.1,1393.0,52.6,167.0,No Failure
61,Medium,298.8,309.0,1592.0,38.2,169.0,No Failure
62,Low,298.8,309.0,1829.0,22.9,172.0,No Failure
63,Medium,298.9,309.0,1812.0,25.9,174.0,No Failure
64,Low,299.0,309.1,1523.0,38.6,177.0,No Failure
65,Low,299.0,309.1,1394.0,45.1,179.0,No Failure
66,Medium,298.9,308.9,1679.0,28.7,181.0,No Failure
67,High,298.8,308.9,1466.0,44.1,184.0,No Failure
68,Low,298.8,308.9,1527.0,32.4,189.0,No Failure
69,Low,298.9,309.0,1410.0,65.7,191.0,Power Failure
70,Medium,298.9,309.0,1895.5,22.6,193.0,No Failure
71,Low,298.9,309.1,1452.0,45.5,196.0,No Failure
72,Low,298.9,309.1,1369.0,44.4,198.0,No Failure
73,Low,299.0,309.1,1592.0,35.0,200.0,No Failure
74,Low,298.9,309.0,1601.0,32.3,202.0,No Failure
75,Low,298.8,308.9,1379.0,46.7,204.0,No Failure
76,Low,298.8,308.9,1461.0,47.9,206.0,No Failure
77,Low,298.8,308.9,1455.0,41.3,208.0,Tool Wear Failure
78,Low,298.8,308.9,1398.0,51.5,0.0,No Failure
79,Low,298.8,308.9,1402.0,37.9,2.0,No Failure
80,High,298.8,308.8,1445.0,49.9,4.0,No Failure
81,Low,298.9,308.9,1450.0,47.5,9.0,No Failure
82,Low,298.9,308.9,1453.0,40.8,11.0,No Failure
83,Low,299.0,309.0,1469.0,40.1,13.0,No Failure
84,Low,298.9,308.9,1422.0,47.6,15.0,No Failure
85,Medium,299.0,309.0,1804.0,26.8,17.0,No Failure
86,High,299.0,309.0,1436.0,43.9,20.0,No Failure
87,Low,299.0,309.0,1544.0,31.8,25.0,No Failure
88,Medium,299.0,309.0,1419.0,45.2,27.0,No Failure
89,Medium,298.9,308.9,1487.0,39.5,30.0,No Failure
90,Low,298.9,308.9,1753.0,25.8,33.0,No Failure
91,Low,298.9,308.9,1830.0,24.9,35.0,No Failure
92,Medium,298.9,308.9,1727.0,27.1,37.0,No Failure
93,Low,299.1,309.0,1450.0,43.0,40.0,No Failure
94,Low,299.0,308.9,1622.0,31.9,42.0,No Failure
95,Medium,299.0,309.0,1351.0,52.2,44.0,No Failure
96,Medium,299.0,309.0,1575.0,35.3,47.0,No Failure
97,Medium,298.9,308.9,1750.0,29.9,50.0,No Failure
98,Low,298.9,308.8,1529.0,32.7,53.0,No Failure
99,Low,298.8,308.8,1523.0,44.4,55.0,No Failure
100,Low,298.8,308.9,1852.0,25.0,57.0,No Failure
101,Low,298.8,308.8,1895.5,20.7,59.0,No Failure
102,Low,298.8,308.8,1555.0,40.6,61.0,No Failure
103,Medium,298.8,308.8,1441.0,40.5,63.0,No Failure
104,Low,298.8,308.7,1450.0,43.4,66.0,No Failure
105,Low,298.8,308.7,1591.0,31.1,68.0,No Failure
106,Low,298.8,308.7,1445.0,48.5,70.0,No Failure
107,Medium,298.8,308.8,1497.0,46.8,72.0,No Failure
108,High,298.9,308.8,1621.0,32.7,75.0,No Failure
